Player_Name,Team_x,Type,Base,Final_Price
james anderson,-,BOWL,1.25,TBA
kyle jamieson,-,BOWL,1.5,Unsold
chris jordan,-,BOWL,2,Unsold
hasan mahmud,-,BOWL,0.75,TBA
tymal mills,-,BOWL,2,TBA
david payne,-,BOWL,1,TBA
nahid rana,-,BOWL,0.75,TBA
prayas ray barman,-,BAT,0.3,TBA
jafar jamal,-,BAT,0.3,TBA
ayaz khan,-,BAT,0.3,TBA
kaushik maity,-,BAT,0.3,TBA
rituraj sharma,-,BAT,0.3,TBA
vaibhav suryavanshi,RR,BAT,0.3,1.1
kartik chadha,-,AR,0.3,TBA
writtick chatterjee,-,AR,0.3,TBA
prerit dutta,-,AR,0.3,TBA
rajneesh gurbani,-,AR,0.3,TBA
shubhang hegde,-,AR,0.3,TBA
saransh jain,-,AR,0.3,TBA
ripal patel,-,AR,0.3,Unsold
akash vasisht,-,AR,0.3,TBA
anirudh kanwar,-,BOWL,0.3,TBA
shubham kapse,-,BOWL,0.3,TBA
atif mushtaq,-,BOWL,0.3,TBA
dipesh parwani,-,BOWL,0.3,TBA
manish reddy,-,BOWL,0.3,TBA
chetan sharma,-,BOWL,0.3,TBA
avinash singh,-,BOWL,0.3,Unsold
alick athanaze,-,AR,0.75,TBA
hilton cartwright,-,AR,0.75,TBA
dominic drakes,-,AR,1.25,TBA
daryn dupavillon,-,BOWL,0.75,TBA
matthew forde,-,AR,1.25,TBA
patrick kruger,-,AR,0.75,TBA
lahiru kumara,-,BOWL,0.75,TBA
michael neser,-,AR,0.75,TBA
richard ngarava,-,BOWL,0.75,TBA
wayne parnell,-,BOWL,1,TBA
keemo paul,-,AR,1.25,TBA
odean smith,-,AR,0.75,TBA
andrew tye,-,BOWL,0.75,TBA
ajay ahlawat,-,AR,0.4,TBA
corbin bosch,-,AR,0.3,TBA
mayank gusain,-,AR,0.3,TBA
mukhtar hussain,-,AR,0.3,TBA
girinath reddy,-,AR,0.3,TBA
jalaj saxena,-,AR,0.4,TBA
yajas sharma,-,AR,0.3,TBA
sanjay yadav,-,AR,0.3,Unsold
vishal godara,-,BOWL,0.3,TBA
eshan malinga,SRH,BOWL,0.3,1.2
samarth nagaraj,-,BOWL,0.3,TBA
abhishek saini,-,BOWL,0.3,TBA
dumindu sewmina,-,BOWL,0.3,TBA
pradyuman singh,-,BOWL,0.3,TBA
vasu vats,-,BOWL,0.3,TBA
umang kumar,-,AR,0.3,Unsold
mohamed ali,-,AR,0.3,TBA
atharva ankolekar,-,AR,0.3,TBA
vaisakh chandran,-,AR,0.3,TBA
auqib nabi,-,AR,0.3,TBA
rohit rayudu,-,AR,0.3,TBA
uday saharan,-,AR,0.3,TBA
ayush vartak,-,AR,0.3,TBA
baba aparajith,-,AR,0.3,TBA
sumit beniwal,-,AR,0.3,TBA
nishunk birla,-,AR,0.3,TBA
digvijay deshmukh,-,AR,0.3,Unsold
lakshay jain,-,AR,0.3,TBA
duan jansen,-,AR,0.3,TBA
kritagya singh,-,AR,0.3,TBA
p vignesh,-,AR,0.3,TBA
